customer_id,customer_name,segment,region,country,signup_date
1,Customer 0001,Consumer,South,UK,2024-10-28
2,Customer 0002,Consumer,North,Singapore,2024-08-19
3,Customer 0003,Consumer,South,India,2023-03-30
4,Customer 0004,Consumer,North,UAE,2023-04-03
5,Customer 0005,SMB,North,India,2023-08-17
6,Customer 0006,SMB,North,UK,2023-02-20
7,Customer 0007,Enterprise,North,UAE,2023-10-24
8,Customer 0008,Consumer,North,Singapore,2024-07-27
9,Customer 0009,SMB,South,India,2024-08-18
10,Customer 0010,SMB,South,Singapore,2023-04-10
11,Customer 0011,Consumer,North,India,2024-09-25
12,Customer 0012,Consumer,West,Singapore,2024-04-21
13,Customer 0013,SMB,West,Singapore,2023-11-03
14,Customer 0014,Consumer,South,UAE,2023-03-25
15,Customer 0015,SMB,West,Singapore,2025-01-16
16,Customer 0016,Consumer,North,India,2024-06-08
17,Customer 0017,Consumer,East,UAE,2024-05-15
18,Customer 0018,Consumer,North,Singapore,2023-12-15
19,Customer 0019,SMB,West,UK,2023-03-12
20,Customer 0020,SMB,East,UK,2024-12-14
21,Customer 0021,SMB,North,Singapore,2024-10-24
22,Customer 0022,SMB,West,Singapore,2025-01-03
23,Customer 0023,Consumer,East,India,2024-04-17
24,Customer 0024,Consumer,North,UK,2023-03-02
25,Customer 0025,Consumer,East,UAE,2025-01-26
26,Customer 0026,Consumer,West,UK,2023-03-24
27,Customer 0027,Consumer,West,Singapore,2023-05-21
28,Customer 0028,SMB,East,UK,2024-01-03
29,Customer 0029,SMB,West,UAE,2023-06-04
30,Customer 0030,Consumer,South,UAE,2024-11-05
31,Customer 0031,Consumer,West,UAE,2023-09-27
32,Customer 0032,Consumer,South,UK,2024-07-01
33,Customer 0033,Consumer,East,UAE,2024-12-08
34,Customer 0034,Enterprise,North,UK,2025-06-10
35,Customer 0035,SMB,West,UK,2024-02-13
36,Customer 0036,Consumer,West,UK,2023-03-05
37,Customer 0037,Consumer,South,UK,2023-06-16
38,Customer 0038,Consumer,North,India,2023-01-01
39,Customer 0039,SMB,North,Singapore,2024-09-20
40,Customer 0040,Consumer,South,UK,2023-06-02
41,Customer 0041,SMB,East,Singapore,2024-04-30
42,Customer 0042,Consumer,West,UK,2024-05-06
43,Customer 0043,Consumer,North,UAE,2023-04-15
44,Customer 0044,SMB,East,UK,2025-04-28
45,Customer 0045,SMB,North,UAE,2024-06-24
46,Customer 0046,Consumer,North,Singapore,2024-10-20
47,Customer 0047,Enterprise,East,Singapore,2023-06-21
48,Customer 0048,Consumer,South,Singapore,2024-10-13
49,Customer 0049,Consumer,South,UAE,2025-04-17
50,Customer 0050,Consumer,South,UAE,2024-06-14
51,Customer 0051,Consumer,North,India,2025-03-20
52,Customer 0052,Consumer,East,UAE,2024-12-10
53,Customer 0053,SMB,East,UK,2025-04-07
54,Customer 0054,Enterprise,East,Singapore,2023-03-24
55,Customer 0055,Consumer,South,UK,2023-07-21
56,Customer 0056,Consumer,West,India,2024-05-05
57,Customer 0057,Enterprise,East,India,2025-05-04
58,Customer 0058,SMB,West,UAE,2024-05-04
59,Customer 0059,Enterprise,West,Singapore,2023-03-30
60,Customer 0060,SMB,West,UK,2024-02-16
61,Customer 0061,SMB,North,UAE,2023-06-24
62,Customer 0062,Enterprise,North,UAE,2024-08-27
63,Customer 0063,Enterprise,South,UK,2024-11-04
64,Customer 0064,Enterprise,South,UAE,2023-01-22
65,Customer 0065,Consumer,North,UAE,2024-03-20
66,Customer 0066,Enterprise,South,UAE,2023-01-29
67,Customer 0067,Consumer,East,UAE,2025-02-21
68,Customer 0068,SMB,East,UK,2025-05-04
69,Customer 0069,Consumer,East,UK,2024-11-09
70,Customer 0070,SMB,West,UAE,2024-06-28
71,Customer 0071,Consumer,North,UK,2025-03-06
72,Customer 0072,Consumer,North,UAE,2023-06-26
73,Customer 0073,Consumer,North,India,2023-11-30
74,Customer 0074,SMB,West,India,2024-07-27
75,Customer 0075,Consumer,South,Singapore,2023-02-13
