order_id,product_id,quantity,unit_price,discount
1,79,4,168.6,0.162
1,119,4,353.09,0.191
1,8,1,277.26,0.19
2,105,1,571.78,0.131
2,127,2,802.22,0.028
3,40,2,155.26,0.145
3,86,3,623.74,0.121
3,19,1,268.45,0.028
3,87,2,89.73,0.115
4,86,4,578.59,0.001
4,55,5,218.63,0.08
4,113,1,583.38,0.028
5,84,5,469.11,0.022
5,61,4,116.72,0.198
6,51,4,71.52,0.044
7,16,1,251.3,0.041
8,30,2,800.44,0.105
8,63,3,793.48,0.065
8,10,4,553.69,0.023
9,12,3,485.95,0.097
9,73,4,430.04,0.063
9,130,5,846.62,0.103
10,101,5,429.7,0.076
11,124,4,180.21,0.105
12,58,1,248.63,0.034
12,78,1,885.58,0.122
12,32,2,591.58,0.003
13,42,2,103.35,0.054
13,103,2,110.11,0.081
13,65,1,771.43,0.192
14,53,3,246.15,0.107
14,70,3,185.8,0.052
15,43,1,549.88,0.138
15,141,5,310.07,0.039
15,32,5,656.92,0.086
16,3,3,135.86,0.152
16,60,4,168.53,0.172
16,120,2,681.34,0.126
17,103,2,112.18,0.194
18,64,2,314.39,0.051
18,106,4,602.13,0.077
18,52,4,37.41,0.164
18,37,3,528.38,0.011
19,85,4,455.99,0.108
19,73,4,447.04,0.121
19,34,2,88.13,0.142
20,113,4,522.27,0.028
20,117,5,450.24,0.076
20,19,4,269.98,0.164
21,13,3,28.54,0.079
21,30,3,893.3,0.05
21,38,5,85.47,0.193
21,136,5,859.19,0.041
22,61,4,118.43,0.048
23,55,3,198.05,0.096
24,89,2,237.4,0.104
25,128,3,727.08,0.009
25,150,3,276.53,0.058
25,70,1,174.12,0.12
25,115,3,314.31,0.169
26,70,3,174.85,0.01
26,109,1,748.57,0.107
26,23,5,112.98,0.192
26,108,2,662.54,0.081
27,140,5,40.43,0.123
27,93,2,91.7,0.044
27,60,2,172.91,0.159
27,132,3,415.54,0.138
28,95,4,565.12,0.051
28,142,3,66.81,0.001
28,62,1,529.96,0.164
29,114,2,234.48,0.136
29,70,4,188.9,0.11
29,89,2,241.87,0.198
29,78,1,906.9,0.183
30,146,3,517.6,0.157
30,38,2,91.88,0.135
30,97,5,471.67,0.189
30,37,1,549.38,0.003
31,74,4,432.88,0.108
31,103,5,111.27,0.185
31,120,5,792.13,0.05
32,7,1,750.31,0.071
32,80,1,420.07,0.061
32,46,3,347.45,0.188
33,8,2,314.01,0.031
33,143,1,870.46,0.187
33,26,5,19.38,0.143
33,114,1,219.26,0.195
34,122,4,523.94,0.067
34,44,2,618.28,0.109
35,115,3,339.01,0.018
35,142,1,63.09,0.04
35,52,3,36.88,0.033
36,52,2,32.76,0.164
36,80,4,408.08,0.039
37,130,1,880.62,0.022
37,26,2,18.27,0.083
38,2,3,347.15,0.058
38,100,1,180.31,0.082
39,127,3,843.36,0.008
39,105,5,569.75,0.178
40,138,4,561.39,0.17
41,24,2,703.74,0.044
41,90,5,132.15,0.016
41,27,4,659.03,0.178
42,13,5,28.37,0.099
42,55,1,217.63,0.018
42,92,5,675.07,0.085
42,139,1,477.13,0.177
43,147,1,750.92,0.044
43,150,4,303.38,0.169
43,80,2,406.91,0.117
43,133,5,632.06,0.073
44,126,4,150.73,0.119
44,41,2,64.19,0.13
44,77,1,593.65,0.072
45,147,3,737.89,0.081
45,105,3,497.01,0.04
45,1,4,252.16,0.192
46,53,3,255.44,0.076
46,85,4,420.28,0.068
46,33,3,208.13,0.008
47,103,5,110.96,0.035
47,59,5,99.02,0.082
47,57,3,167.94,0.052
47,48,1,575.15,0.188
48,40,1,160.12,0.075
48,120,2,682.52,0.023
49,9,1,83.24,0.095
49,133,5,707.5,0.114
49,89,5,255.07,0.013
50,45,5,66.88,0.104
50,102,4,796.49,0.001
50,103,1,113.24,0.197
51,83,3,456.26,0.031
51,99,2,639.31,0.063
51,30,4,892.99,0.126
51,39,3,658.61,0.081
52,80,5,413.68,0.108
52,28,2,395.23,0.191
53,80,1,393.06,0.099
54,67,2,766.03,0.097
54,8,1,300.03,0.168
54,137,5,542.79,0.18
55,20,5,87.23,0.05
55,106,4,612.93,0.016
56,33,3,230.65,0.071
56,52,1,32.41,0.028
57,3,4,147.06,0.009
57,140,5,37.36,0.055
58,56,3,590.15,0.018
59,144,5,259.06,0.105
59,138,1,569.41,0.158
59,61,4,118.28,0.07
59,77,4,634.86,0.182
60,124,1,182.54,0.055
60,150,3,272.09,0.177
61,109,3,731.18,0.123
61,146,5,587.04,0.09
62,31,5,306.64,0.191
62,96,3,85.81,0.01
62,46,5,353.24,0.076
62,143,3,888.93,0.044
63,3,2,156.49,0.132
63,94,3,265.04,0.104
63,134,5,809.31,0.098
63,29,4,447.1,0.052
64,125,2,333.82,0.073
64,136,2,788.17,0.148
65,25,2,519.66,0.088
65,95,4,564.85,0.156
65,142,2,65.11,0.172
66,93,3,90.89,0.137
66,82,1,533.81,0.063
67,123,2,658.08,0.04
67,15,1,723.2,0.188
68,121,1,605.43,0.146
69,119,3,391.15,0.135
69,53,1,244.26,0.077
69,81,1,350.21,0.193
69,80,5,447.31,0.135
70,20,5,83.18,0.048
70,37,3,541.95,0.066
71,21,5,259.81,0.031
71,60,3,181.86,0.145
72,66,3,805.84,0.1
72,79,1,164.46,0.183
72,107,4,788.37,0.011
72,20,4,76.24,0.154
73,39,5,708.58,0.043
74,125,2,324.42,0.053
74,10,3,574.88,0.1
74,86,1,621.93,0.099
75,40,2,160.47,0.085
75,53,2,264.18,0.07
76,37,4,502.75,0.174
76,27,3,621.68,0.174
77,14,2,129.26,0.101
77,111,1,785.5,0.008
