order_id,customer_id,order_date,status,channel,region
1,2152,2024-02-05,Completed,Partner,South
2,2446,2026-07-20,Completed,Web,West
3,2272,2024-06-12,Completed,Mobile,West
4,2035,2026-01-31,Completed,Mobile,South
5,294,2025-11-12,Pending,Mobile,North
6,2598,2026-05-04,Completed,Partner,North
7,2382,2026-04-06,Completed,Partner,North
8,2174,2024-04-02,Completed,Web,East
9,2186,2026-04-10,Cancelled,Partner,East
10,538,2025-03-27,Completed,Web,North
11,508,2025-03-06,Completed,Web,North
12,1254,2026-08-17,Completed,Partner,North
13,626,2026-05-16,Cancelled,Mobile,West
14,236,2025-01-06,Cancelled,Web,South
15,744,2025-06-11,Cancelled,Mobile,West
16,11,2024-05-07,Completed,Web,North
17,552,2026-07-04,Completed,Partner,East
18,1322,2026-05-03,Pending,Web,West
19,1966,2025-05-20,Completed,Web,West
20,1317,2026-05-17,Completed,Mobile,North
21,2222,2024-01-28,Pending,Partner,South
22,854,2024-09-02,Completed,Mobile,East
23,1426,2024-02-22,Completed,Mobile,North
24,2225,2025-03-13,Completed,Partner,East
25,2522,2024-06-18,Completed,Partner,East
26,699,2026-06-26,Completed,Web,East
27,1444,2026-04-28,Completed,Web,South
28,2552,2026-04-09,Completed,Mobile,South
29,1549,2025-08-22,Completed,Web,West
30,595,2024-07-12,Completed,Partner,East
31,1729,2025-08-28,Completed,Partner,East
32,2224,2024-12-15,Completed,Mobile,South
33,682,2024-12-13,Completed,Web,South
34,603,2026-03-20,Completed,Partner,East
35,296,2025-04-15,Completed,Web,East
36,59,2025-10-22,Completed,Mobile,West
37,2053,2026-07-27,Completed,Partner,North
38,1034,2025-02-24,Completed,Mobile,East
39,2407,2025-11-23,Completed,Partner,North
40,2482,2026-08-04,Completed,Mobile,East
41,1942,2025-11-01,Completed,Web,South
42,919,2025-09-26,Completed,Mobile,North
43,1898,2024-05-06,Completed,Partner,South
44,1294,2026-03-19,Cancelled,Mobile,East
45,2604,2024-05-08,Completed,Web,North
46,2143,2025-11-20,Completed,Mobile,North
47,144,2025-04-16,Completed,Partner,West
48,2102,2025-07-25,Completed,Mobile,North
49,2159,2024-07-24,Pending,Mobile,South
50,1349,2025-07-24,Completed,Partner,North
51,1089,2024-04-24,Completed,Mobile,North
52,2464,2024-08-13,Cancelled,Partner,East
53,1203,2025-09-04,Completed,Web,West
54,1823,2024-03-12,Completed,Partner,South
55,1516,2025-05-24,Completed,Mobile,West
56,2143,2025-05-28,Completed,Web,North
57,1930,2026-03-18,Completed,Web,West
58,2614,2025-10-01,Completed,Mobile,South
59,2095,2024-08-02,Completed,Partner,North
60,1828,2026-03-12,Completed,Mobile,South
61,1993,2026-01-25,Completed,Mobile,South
62,2526,2026-05-30,Completed,Partner,East
63,2177,2025-01-18,Completed,Partner,South
64,1692,2025-09-01,Completed,Web,North
65,1474,2024-07-19,Completed,Web,West
66,2499,2026-01-01,Completed,Partner,West
67,2080,2026-03-27,Completed,Partner,South
68,1535,2025-12-21,Completed,Web,South
69,1839,2025-10-08,Completed,Partner,South
70,647,2024-01-16,Completed,Web,East
71,1334,2024-05-06,Pending,Web,East
72,1921,2024-03-16,Completed,Mobile,East
73,2160,2026-03-27,Cancelled,Web,West
74,627,2024-08-16,Completed,Partner,West
75,2690,2026-08-25,Completed,Partner,North
76,2220,2026-05-18,Completed,Partner,South
77,2167,2025-05-31,Completed,Mobile,West
78,1021,2025-10-07,Completed,Web,North
79,2334,2024-10-01,Completed,Mobile,East
80,717,2026-02-05,Completed,Web,North
81,1442,2025-12-12,Completed,Web,East
82,2249,2026-04-12,Completed,Web,North
83,89,2026-06-21,Completed,Mobile,East
84,450,2024-03-17,Completed,Web,South
85,1017,2026-08-02,Completed,Web,North
86,1428,2025-11-23,Completed,Web,North
87,1544,2025-08-19,Cancelled,Partner,North
88,1984,2025-08-24,Completed,Web,South
89,2714,2024-06-18,Completed,Partner,North
90,2074,2026-02-10,Completed,Partner,South
91,241,2025-10-03,Completed,Web,South
92,715,2026-04-15,Completed,Web,West
93,1577,2025-02-12,Completed,Web,East
94,243,2024-05-23,Completed,Web,South
95,426,2025-08-13,Completed,Mobile,East
96,221,2024-07-25,Completed,Web,North
97,2638,2024-02-29,Completed,Web,East
98,681,2024-11-01,Completed,Mobile,North
99,444,2025-03-15,Completed,Web,West
100,2542,2024-07-18,Completed,Mobile,South
101,2117,2026-04-16,Cancelled,Mobile,West
102,1494,2026-07-09,Completed,Mobile,North
103,2377,2024-12-27,Completed,Partner,North
104,110,2025-11-17,Cancelled,Mobile,South
105,2601,2026-01-04,Completed,Web,South
106,598,2024-01-14,Completed,Partner,West
107,35,2025-03-28,Completed,Mobile,West
108,799,2025-07-01,Completed,Partner,East
109,954,2024-06-12,Completed,Web,West
110,1307,2026-08-15,Completed,Mobile,North
111,2922,2025-10-20,Completed,Web,East
112,1761,2026-01-27,Completed,Web,North
113,2107,2026-01-19,Cancelled,Partner,West
114,2800,2026-04-15,Completed,Mobile,South
115,1694,2025-06-24,Completed,Web,West
116,333,2025-04-12,Completed,Partner,North
117,1195,2025-11-12,Completed,Mobile,South
118,2808,2024-10-27,Completed,Partner,East
119,1532,2025-09-10,Completed,Web,West
120,1235,2024-08-18,Completed,Web,East
121,292,2026-04-20,Completed,Partner,East
122,2854,2026-05-31,Completed,Partner,East
123,1484,2024-08-12,Cancelled,Web,North
124,1270,2025-05-01,Completed,Web,South
125,2524,2025-04-19,Completed,Mobile,South
126,2940,2026-02-10,Completed,Partner,South
127,575,2024-12-13,Completed,Partner,South
128,745,2025-02-25,Completed,Mobile,East
129,2078,2025-01-17,Completed,Web,West
130,2946,2024-02-16,Completed,Web,North
