payment_id,order_id,payment_date,amount,method,status
1,1,2024-02-05,2325.06,Bank,Paid
2,2,2026-07-20,2125.01,Wallet,Paid
3,3,2024-06-12,2582.72,Card,Paid
4,4,2026-01-31,3976.82,Card,Paid
5,5,2025-11-12,2776.07,Bank,Pending
6,6,2026-05-04,284.33,Card,Paid
7,7,2026-04-06,245.57,Card,Paid
8,8,2024-04-02,6118.2,UPI,Paid
9,9,2026-04-10,7213.04,Bank,Pending
10,10,2025-03-27,2087.13,UPI,Paid
11,11,2025-03-06,703.1,Bank,Paid
12,12,2026-08-17,2294.53,UPI,Paid
13,13,2026-05-16,1177.68,Wallet,Failed
14,14,2025-01-06,1262.24,Wallet,Failed
15,15,2025-06-11,5357.95,Wallet,Pending
16,16,2024-05-07,2378.16,Wallet,Paid
17,17,2026-07-04,222.01,Bank,Paid
18,18,2026-05-03,4703.15,Wallet,Paid
19,19,2025-05-20,3685.85,Card,Paid
20,20,2026-05-17,5269.66,Bank,Paid
21,21,2024-01-28,7435.33,UPI,Paid
22,22,2024-09-02,469.94,Wallet,Paid
23,23,2024-02-22,578.3,Bank,Paid
24,24,2025-03-13,468.92,Wallet,Paid
25,25,2024-06-18,4023.32,UPI,Paid
26,26,2026-06-26,3087.49,Bank,Paid
27,27,2026-04-28,1936.94,Wallet,Paid
28,28,2026-04-09,2967.57,Bank,Paid
29,29,2025-08-22,2603.12,Bank,Paid
30,30,2024-07-12,4553.19,UPI,Paid
31,31,2025-08-28,6122.36,UPI,Paid
32,32,2024-12-15,2151.93,Wallet,Paid
33,33,2024-12-13,1803.68,UPI,Paid
34,34,2026-03-20,3247.64,Card,Paid
35,35,2025-04-15,1183.72,UPI,Paid
36,36,2025-10-22,1653.27,Bank,Paid
37,37,2026-07-27,899.07,Wallet,Paid
38,38,2025-02-24,1214.83,UPI,Paid
39,39,2025-11-23,5332.32,Wallet,Paid
40,40,2026-08-04,2231.32,UPI,Paid
41,41,2025-11-01,4647.75,UPI,Paid
42,42,2025-09-26,4112.89,Bank,Paid
43,43,2024-05-06,5834.77,Wallet,Paid
44,44,2026-03-19,1324.11,Card,Pending
45,45,2024-05-08,4666.19,Card,Paid
46,46,2025-11-20,2982.23,Bank,Paid
47,47,2025-04-16,2118.02,Bank,Paid
48,48,2025-07-25,1485.52,UPI,Paid
49,49,2024-07-24,4888.85,Wallet,Paid
50,50,2025-07-24,3530.88,Bank,Paid
51,51,2024-04-24,8192.14,Wallet,Paid
52,52,2024-08-13,2833.2,Bank,Pending
53,53,2025-09-04,386.84,Bank,Paid
54,54,2024-03-12,4543.22,Wallet,Paid
55,55,2025-05-24,2861.71,Card,Paid
56,56,2025-05-28,722.07,Bank,Paid
57,57,2026-03-18,757.73,UPI,Paid
58,58,2025-10-01,1767.57,Card,Paid
59,59,2024-08-02,4815.11,Card,Paid
60,60,2026-03-12,971.38,Card,Paid
61,61,2026-01-25,5003.99,Wallet,Paid
62,62,2026-05-30,6058.26,Card,Paid
63,63,2025-01-18,6837.09,Card,Paid
64,64,2025-09-01,2214.75,UPI,Paid
65,65,2024-07-19,3404.43,Bank,Paid
66,66,2026-01-01,786.57,Card,Paid
67,67,2026-03-27,2004.88,Bank,Paid
68,68,2025-12-21,597.1,UPI,Paid
69,69,2025-10-08,3888.06,Bank,Paid
70,70,2024-01-16,1992.32,Card,Paid
71,71,2024-05-06,1816.31,Bank,Paid
72,72,2024-03-16,5963.2,Bank,Paid
73,73,2026-03-27,3463.65,UPI,Failed
74,74,2024-08-16,2965.14,Wallet,Paid
75,75,2026-08-25,835.29,Bank,Paid
76,76,2026-05-18,3868.5,Wallet,Paid
77,77,2025-05-31,1041.54,UPI,Paid
78,78,2025-10-07,4110.3,UPI,Paid
79,79,2024-10-01,2678.72,Bank,Paid
80,80,2026-02-05,212.2,Bank,Paid
81,81,2025-12-12,546.72,Bank,Paid
82,82,2026-04-12,5494.03,Bank,Paid
83,83,2026-06-21,11122.59,UPI,Paid
84,84,2024-03-17,5836.13,Wallet,Paid
85,85,2026-08-02,1594.24,Wallet,Paid
86,86,2025-11-23,6835.5,Bank,Paid
87,87,2025-08-19,383.84,Bank,Pending
88,88,2025-08-24,151.95,Bank,Paid
89,89,2024-06-18,7781.46,Wallet,Paid
90,90,2026-02-10,1944.57,Card,Paid
91,91,2025-10-03,2702.35,Bank,Paid
92,92,2026-04-15,4323.69,Wallet,Paid
93,93,2025-02-12,4300.84,Card,Paid
94,94,2024-05-23,4296.22,Card,Paid
95,95,2025-08-13,4874.62,Card,Paid
96,96,2024-07-25,4390.69,UPI,Paid
97,97,2024-02-29,4920.38,UPI,Paid
98,98,2024-11-01,4664.79,Card,Paid
99,99,2025-03-15,7169.56,UPI,Paid
100,100,2024-07-18,929.82,Card,Paid
101,101,2026-04-16,3331.52,Card,Pending
102,102,2026-07-09,2726.45,UPI,Paid
103,103,2024-12-27,1824.51,UPI,Paid
104,104,2025-11-17,844.11,Card,Pending
105,105,2026-01-04,8604.12,Card,Paid
106,106,2024-01-14,2117.13,Card,Paid
107,107,2025-03-28,3487.13,Wallet,Paid
108,108,2025-07-01,4141.8,Bank,Paid
109,109,2024-06-12,3634.0,Wallet,Paid
110,110,2026-08-15,7016.67,Bank,Paid
111,111,2025-10-20,3514.35,Card,Paid
112,112,2026-01-27,504.07,Bank,Paid
113,113,2026-01-19,1127.88,Wallet,Pending
114,114,2026-04-15,4322.08,UPI,Paid
115,115,2025-06-24,3520.3,Wallet,Paid
116,116,2025-04-12,4433.51,Bank,Paid
117,117,2025-11-12,3224.28,Card,Paid
118,118,2024-10-27,3113.83,Wallet,Paid
119,119,2025-09-10,3994.8,Bank,Paid
120,120,2024-08-18,5057.93,Bank,Paid
121,121,2026-04-20,1884.11,Bank,Paid
122,122,2026-05-31,2976.67,Wallet,Paid
123,123,2024-08-12,1359.13,Card,Pending
124,124,2025-05-01,5822.21,Bank,Paid
125,125,2025-04-19,6937.09,Bank,Paid
126,126,2026-02-10,768.19,Bank,Paid
127,127,2024-12-13,3204.35,Card,Paid
128,128,2025-02-25,3620.34,Bank,Paid
129,129,2025-01-17,1244.95,UPI,Paid
130,130,2024-02-16,1649.12,Bank,Paid
131,131,2024-05-24,296.94,Bank,Paid
132,132,2025-05-20,1199.14,Card,Paid
133,133,2025-10-11,3867.42,UPI,Paid
134,134,2024-05-29,2956.56,Wallet,Paid
135,135,2024-07-09,683.86,UPI,Paid
136,136,2025-10-17,986.1,Bank,Paid
137,137,2025-07-24,3639.14,Wallet,Pending
138,138,2026-01-20,4300.51,Wallet,Paid
139,139,2025-11-20,3183.07,Card,Paid
140,140,2026-04-06,2446.53,Card,Paid
141,141,2025-02-15,4884.15,Wallet,Paid
142,142,2025-12-19,1690.32,UPI,Pending
143,143,2025-06-20,3919.89,UPI,Paid
144,144,2026-04-16,3402.31,UPI,Paid
