product_id,product_name,category,unit_cost,list_price
1,Product 001,Office,131.36,256.39
2,Product 002,Office,222.5,350.39
3,Product 003,Beauty,117.4,153.57
4,Product 004,Beauty,423.41,757.79
5,Product 005,Home,268.36,583.0
6,Product 006,Apparel,288.8,580.38
7,Product 007,Electronics,584.09,755.13
8,Product 008,Office,201.46,312.42
9,Product 009,Home,57.03,92.76
10,Product 010,Apparel,467.55,602.11
11,Product 011,Apparel,372.91,711.98
12,Product 012,Home,403.97,525.37
13,Product 013,Apparel,17.27,31.34
14,Product 014,Office,75.12,137.4
15,Product 015,Beauty,573.31,799.51
16,Product 016,Apparel,177.77,283.71
17,Product 017,Electronics,535.21,775.26
18,Product 018,Apparel,64.7,139.39
19,Product 019,Home,135.24,267.32
20,Product 020,Home,46.25,84.96
21,Product 021,Beauty,139.36,255.29
22,Product 022,Beauty,156.21,301.32
23,Product 023,Apparel,73.2,111.59
24,Product 024,Electronics,534.08,725.56
25,Product 025,Apparel,259.0,505.63
26,Product 026,Apparel,14.76,19.56
27,Product 027,Home,513.49,704.67
28,Product 028,Electronics,263.86,417.94
29,Product 029,Office,347.55,468.6
30,Product 030,Apparel,410.4,876.24
31,Product 031,Apparel,194.64,300.73
32,Product 032,Office,307.42,645.54
33,Product 033,Office,152.01,228.45
34,Product 034,Electronics,48.17,91.23
35,Product 035,Apparel,391.97,837.75
36,Product 036,Beauty,434.78,839.03
37,Product 037,Apparel,326.35,552.57
38,Product 038,Home,57.84,93.74
39,Product 039,Office,494.2,713.74
40,Product 040,Home,89.03,169.05
41,Product 041,Electronics,30.96,64.71
42,Product 042,Beauty,57.28,101.38
43,Product 043,Electronics,390.1,563.9
44,Product 044,Beauty,350.66,649.01
45,Product 045,Apparel,40.82,71.0
46,Product 046,Home,236.42,373.35
47,Product 047,Home,303.19,602.02
48,Product 048,Beauty,386.38,653.08
49,Product 049,Office,41.96,61.03
50,Product 050,Apparel,343.15,653.84
51,Product 051,Office,60.43,80.39
52,Product 052,Office,18.4,36.6
53,Product 053,Office,195.24,273.33
54,Product 054,Beauty,122.24,232.49
55,Product 055,Apparel,131.89,223.19
56,Product 056,Beauty,344.78,649.99
57,Product 057,Apparel,96.74,168.62
58,Product 058,Home,151.52,242.93
59,Product 059,Home,52.82,99.08
60,Product 060,Apparel,123.31,179.07
61,Product 061,Electronics,56.08,120.92
62,Product 062,Home,340.88,532.45
63,Product 063,Beauty,687.44,894.29
64,Product 064,Office,253.75,342.68
65,Product 065,Electronics,410.38,861.53
66,Product 066,Home,660.6,882.24
67,Product 067,Beauty,472.59,864.69
68,Product 068,Beauty,435.35,687.16
69,Product 069,Apparel,365.21,487.99
70,Product 070,Home,115.52,191.38
71,Product 071,Electronics,188.26,312.31
72,Product 072,Office,471.93,750.85
73,Product 073,Home,204.0,448.21
74,Product 074,Apparel,260.34,448.61
75,Product 075,Home,99.38,136.61
76,Product 076,Apparel,584.91,869.8
77,Product 077,Home,339.04,635.23
78,Product 078,Electronics,587.96,898.39
79,Product 079,Office,89.83,166.11
80,Product 080,Beauty,245.01,438.31
81,Product 081,Home,200.68,395.73
82,Product 082,Electronics,291.64,577.18
83,Product 083,Apparel,222.6,458.37
84,Product 084,Office,274.26,525.39
85,Product 085,Electronics,333.74,458.81
86,Product 086,Beauty,405.72,625.35
87,Product 087,Apparel,43.86,88.28
88,Product 088,Electronics,168.87,288.28
89,Product 089,Office,128.16,261.67
90,Product 090,Home,96.51,143.5
91,Product 091,Apparel,109.45,232.07
92,Product 092,Electronics,500.07,739.46
93,Product 093,Electronics,62.02,92.72
94,Product 094,Apparel,208.64,299.38
95,Product 095,Beauty,411.63,594.84
96,Product 096,Office,44.79,95.39
97,Product 097,Office,329.5,503.51
98,Product 098,Home,442.34,579.65
99,Product 099,Electronics,478.99,668.65
100,Product 100,Home,127.9,190.57
101,Product 101,Beauty,359.46,464.3
102,Product 102,Office,376.68,836.73
103,Product 103,Beauty,69.42,113.19
104,Product 104,Office,484.44,688.56
105,Product 105,Home,263.87,561.46
106,Product 106,Electronics,478.64,638.76
107,Product 107,Beauty,650.04,852.47
108,Product 108,Electronics,445.32,675.32
109,Product 109,Electronics,394.25,821.64
110,Product 110,Beauty,441.59,764.6
111,Product 111,Home,456.23,866.6
112,Product 112,Office,337.06,683.6
113,Product 113,Home,348.65,584.89
114,Product 114,Apparel,176.15,236.99
115,Product 115,Apparel,212.8,330.57
116,Product 116,Apparel,102.7,138.75
117,Product 117,Electronics,247.63,507.24
118,Product 118,Apparel,25.64,49.0
119,Product 119,Office,285.9,387.33
120,Product 120,Home,533.74,773.94
121,Product 121,Beauty,492.63,674.52
122,Product 122,Electronics,422.07,547.34
123,Product 123,Home,340.11,657.2
124,Product 124,Apparel,130.76,186.49
125,Product 125,Apparel,231.35,361.3
126,Product 126,Home,90.92,157.63
127,Product 127,Beauty,455.24,829.24
128,Product 128,Office,542.56,797.37
129,Product 129,Beauty,500.64,713.84
130,Product 130,Office,670.42,879.57
131,Product 131,Electronics,159.64,339.65
132,Product 132,Home,255.48,439.07
133,Product 133,Office,386.7,689.41
134,Product 134,Beauty,421.36,799.1
135,Product 135,Apparel,50.07,74.35
136,Product 136,Office,637.86,843.0
137,Product 137,Beauty,279.06,607.34
138,Product 138,Beauty,432.78,575.74
139,Product 139,Electronics,280.87,470.91
140,Product 140,Home,29.78,39.63
141,Product 141,Electronics,153.49,324.0
142,Product 142,Apparel,35.82,67.72
143,Product 143,Electronics,429.41,868.56
144,Product 144,Beauty,195.21,251.74
145,Product 145,Office,218.41,326.92
146,Product 146,Home,379.74,584.56
147,Product 147,Home,483.42,772.52
148,Product 148,Beauty,248.22,485.02
149,Product 149,Electronics,150.73,217.08
150,Product 150,Electronics,160.44,295.71
