return_id,order_id,return_date,reason,refund_amount
1,30,2024-07-16,Damaged,1806.16
2,103,2025-01-10,Damaged,563.29
3,138,2026-02-07,Late Delivery,1793.29
4,155,2024-09-15,Damaged,351.46
5,177,2025-06-15,Late Delivery,891.05
6,194,2026-04-02,Wrong Item,1210.48
7,237,2025-09-12,Wrong Item,113.03
8,253,2026-03-29,Wrong Item,3130.59
9,258,2024-07-09,Wrong Item,655.98
10,260,2024-04-14,Wrong Item,72.54
11,307,2026-03-22,Changed Mind,1719.96
12,318,2025-11-12,Changed Mind,2562.54
13,323,2026-01-10,Changed Mind,4030.12
14,346,2025-01-17,Late Delivery,2719.72
15,376,2024-07-06,Late Delivery,4037.96
16,402,2025-11-18,Changed Mind,1875.88
17,431,2025-11-27,Damaged,470.61
18,443,2026-06-16,Late Delivery,2639.54
19,454,2024-02-22,Changed Mind,114.76
20,482,2025-02-14,Late Delivery,2280.03
21,483,2025-03-21,Late Delivery,4696.11
22,492,2025-08-20,Changed Mind,715.55
23,493,2025-05-09,Wrong Item,3157.85
24,511,2024-01-28,Damaged,1237.6
25,528,2025-07-21,Changed Mind,2156.94
26,558,2025-02-15,Damaged,1089.57
27,573,2024-08-17,Wrong Item,1571.53
28,590,2025-08-16,Changed Mind,1003.09
29,620,2025-05-04,Damaged,589.59
30,632,2025-09-07,Late Delivery,3855.97
31,685,2024-02-21,Changed Mind,2931.23
32,696,2024-03-18,Wrong Item,1805.7
33,698,2025-01-13,Changed Mind,480.58
34,700,2025-09-15,Wrong Item,108.55
35,729,2026-05-23,Late Delivery,2551.63
36,755,2024-08-25,Late Delivery,353.55
37,772,2025-05-08,Damaged,1033.37
38,778,2025-01-10,Changed Mind,3001.49
39,785,2025-08-13,Changed Mind,2703.72
40,787,2026-07-16,Damaged,33.71
41,814,2025-08-18,Damaged,439.45
42,914,2024-12-22,Damaged,59.34
43,949,2024-09-03,Changed Mind,443.76
44,983,2026-01-18,Changed Mind,1949.39
45,987,2026-01-08,Wrong Item,1117.73
46,992,2024-08-12,Wrong Item,2721.71
47,1101,2024-10-09,Damaged,2372.3
48,1157,2024-08-25,Changed Mind,3501.33
