employee_id,department,level,join_date,location,base_salary,performance_score,left_company
1,Finance,Mid,2023-09-17,Chennai,1059854.92,2.28,N
2,Marketing,Senior,2024-08-10,Hyderabad,1464379.62,2.27,N
3,Finance,Mid,2024-11-13,Hyderabad,796067.6,3.55,N
4,Technology,Lead,2024-05-28,Mumbai,900104.31,2.27,N
5,HR,Junior,2023-03-11,Pune,1804483.86,4.98,N
6,Sales,Junior,2022-08-03,Delhi,2150240.14,2.83,N
7,HR,Lead,2021-09-07,Hyderabad,790024.98,2.23,N
8,HR,Junior,2023-12-30,Mumbai,1377377.25,3.94,Y
9,Finance,Senior,2021-08-17,Mumbai,1261682.62,2.7,Y
10,Finance,Junior,2021-06-24,Bengaluru,713526.01,3.72,N
11,Sales,Junior,2024-01-22,Chennai,1569238.31,4.55,N
12,HR,Senior,2022-01-28,Pune,1018511.79,3.46,N
13,Technology,Junior,2021-03-16,Hyderabad,1898353.36,3.44,N
14,HR,Lead,2024-09-05,Bengaluru,2155764.84,3.81,N
15,Operations,Junior,2023-12-28,Delhi,1829055.35,4.43,Y
16,Technology,Junior,2021-06-06,Chennai,1310422.13,4.02,Y
17,Sales,Lead,2023-12-05,Hyderabad,854364.93,4.83,Y
18,Operations,Lead,2021-10-22,Chennai,931284.66,4.86,N
19,Finance,Lead,2023-10-16,Hyderabad,822016.12,2.83,N
20,Sales,Senior,2021-03-26,Delhi,1317400.02,4.6,N
21,Technology,Junior,2022-10-17,Delhi,878337.11,2.51,N
22,Marketing,Junior,2024-12-10,Pune,1053454.41,2.8,N
23,HR,Lead,2021-11-17,Hyderabad,1066095.87,4.24,N
24,HR,Junior,2021-06-01,Mumbai,1206579.57,2.83,N
25,Sales,Junior,2024-03-07,Delhi,1568473.43,2.21,N
26,Sales,Junior,2021-06-11,Delhi,1783754.76,3.33,Y
27,Finance,Mid,2021-05-16,Chennai,1720412.89,2.95,N
28,Marketing,Junior,2021-07-24,Pune,531015.88,3.74,N
29,HR,Junior,2024-02-27,Hyderabad,2005222.47,3.54,N
30,Sales,Junior,2024-05-22,Mumbai,1097704.7,3.25,N
31,Operations,Senior,2021-02-17,Hyderabad,2196196.2,4.79,Y
32,Marketing,Mid,2023-01-09,Mumbai,389042.29,2.58,N
33,Technology,Senior,2022-11-23,Bengaluru,988747.01,4.93,N
34,Sales,Lead,2022-07-31,Hyderabad,1419949.86,3.91,N
35,Finance,Lead,2023-05-17,Hyderabad,945117.64,3.01,Y
36,Finance,Junior,2022-08-10,Chennai,606953.83,3.68,N
37,Marketing,Lead,2023-10-22,Pune,1378369.08,4.23,N
38,Operations,Mid,2022-03-30,Hyderabad,1653712.43,2.6,N
39,Finance,Mid,2024-02-01,Chennai,1615629.13,2.96,N
40,Finance,Junior,2023-06-19,Delhi,1313917.66,3.08,N
41,Sales,Senior,2024-06-07,Delhi,1117056.77,3.61,N
42,Finance,Mid,2024-01-29,Delhi,1955146.27,3.49,N
43,HR,Mid,2024-07-21,Bengaluru,928112.9,4.02,Y
44,Sales,Junior,2023-06-14,Hyderabad,1000610.14,4.21,N
45,Finance,Mid,2024-03-24,Hyderabad,1982735.59,4.83,N
46,Sales,Mid,2021-06-19,Bengaluru,1019995.78,2.41,Y
47,Finance,Junior,2023-08-25,Pune,915338.12,2.79,N
48,Operations,Lead,2023-02-23,Hyderabad,634487.65,3.08,N
49,Operations,Senior,2022-12-05,Hyderabad,2067322.38,3.31,N
50,Sales,Junior,2021-06-15,Pune,1575346.74,3.2,Y
51,Technology,Junior,2021-02-13,Pune,1548006.03,4.75,N
52,Finance,Mid,2022-06-19,Chennai,355115.63,4.5,N
53,Sales,Junior,2025-01-04,Chennai,1666173.84,4.01,Y
54,Marketing,Senior,2022-10-30,Pune,1144337.82,4.12,N
55,Technology,Mid,2021-05-06,Delhi,757394.31,2.8,Y
56,Technology,Mid,2024-11-23,Delhi,2128165.81,3.73,N
57,Technology,Mid,2024-02-23,Delhi,1087966.78,3.58,N
58,Operations,Lead,2023-06-15,Hyderabad,1372806.23,3.71,N
59,Marketing,Senior,2022-11-18,Chennai,1240025.56,4.84,N
60,HR,Mid,2022-09-02,Pune,1753321.74,3.25,Y
61,Technology,Lead,2021-01-04,Delhi,1425438.92,4.89,N
62,Sales,Junior,2021-11-23,Bengaluru,529685.48,3.33,N
63,Finance,Lead,2022-10-09,Mumbai,851464.95,3.09,N
64,Operations,Mid,2024-04-18,Hyderabad,474981.82,4.98,Y
65,Marketing,Senior,2023-12-04,Mumbai,1897292.04,4.24,N
66,Technology,Mid,2023-11-10,Mumbai,605516.68,2.59,N
67,Finance,Senior,2021-06-17,Pune,1052854.46,3.03,N
68,Marketing,Senior,2023-04-23,Pune,2164569.46,3.91,N
69,Marketing,Lead,2022-12-25,Mumbai,578347.32,3.59,N
70,Sales,Junior,2024-02-14,Chennai,1802802.15,2.24,N
71,Operations,Senior,2021-02-11,Chennai,772767.59,3.73,N
72,Finance,Junior,2022-03-22,Chennai,1940064.43,4.69,N
73,Finance,Junior,2021-04-27,Pune,1544686.04,3.86,N
74,Technology,Junior,2024-08-13,Pune,2087854.92,2.25,N
75,Operations,Lead,2023-05-10,Chennai,856780.17,2.93,N
76,HR,Mid,2024-04-02,Pune,1772546.24,3.38,N
77,HR,Lead,2022-07-16,Pune,1396417.58,2.94,N
78,Operations,Lead,2024-11-10,Mumbai,538638.62,3.11,N
79,Marketing,Lead,2024-04-18,Chennai,924137.5,4.03,N
80,HR,Senior,2024-06-22,Chennai,1711247.52,4.4,N
81,HR,Senior,2024-05-01,Pune,777070.56,4.27,N
82,Finance,Junior,2023-11-09,Pune,1977456.3,4.03,N
83,Marketing,Senior,2022-05-28,Bengaluru,1229429.24,4.89,N
84,Sales,Senior,2022-07-06,Mumbai,1486652.66,2.62,N
85,Finance,Mid,2022-07-05,Mumbai,727871.64,3.68,N
86,Sales,Senior,2022-04-01,Pune,1671412.64,2.33,N
87,Finance,Senior,2022-02-24,Chennai,616570.79,3.77,N
88,Marketing,Lead,2021-07-18,Bengaluru,954480.42,3.06,N
89,Sales,Junior,2024-01-21,Mumbai,916507.25,3.67,Y
90,Marketing,Junior,2021-01-10,Mumbai,1510632.56,3.29,Y
91,Sales,Lead,2022-07-26,Pune,1223365.66,2.59,N
92,Finance,Senior,2021-03-19,Delhi,968978.97,4.15,N
93,Sales,Mid,2024-09-09,Hyderabad,1190328.86,4.62,N
94,Marketing,Senior,2021-01-14,Pune,1224463.2,2.35,N
95,Marketing,Mid,2023-10-04,Bengaluru,1922763.69,3.75,N
96,Finance,Senior,2022-01-24,Delhi,1734281.01,2.92,N
97,Sales,Mid,2023-09-25,Chennai,1539401.83,4.13,N
98,HR,Junior,2024-02-16,Delhi,1597845.25,4.46,N
99,Technology,Senior,2024-02-02,Pune,1087734.58,2.43,N
100,Technology,Mid,2022-09-23,Pune,1459509.56,3.67,N
101,Finance,Junior,2023-06-12,Chennai,1231154.35,2.91,N
102,Marketing,Mid,2024-10-26,Bengaluru,1504749.02,2.61,N
103,HR,Senior,2022-01-05,Bengaluru,1316859.08,2.69,N
104,HR,Lead,2022-11-27,Hyderabad,2139199.24,4.26,N
105,Sales,Mid,2024-02-20,Chennai,2161660.84,3.79,N
106,HR,Lead,2021-03-04,Pune,1503649.78,4.36,N
107,Finance,Mid,2022-07-12,Pune,715440.42,2.54,N
108,HR,Lead,2023-08-28,Mumbai,2056043.22,3.25,N
109,Sales,Senior,2024-09-11,Pune,1540370.79,2.78,N
110,Sales,Lead,2023-01-13,Pune,466721.15,2.36,N
111,Marketing,Senior,2021-06-18,Hyderabad,1384520.66,2.62,N
112,Technology,Junior,2022-06-25,Delhi,2017175.29,4.68,N
113,HR,Junior,2021-12-21,Hyderabad,963074.19,4.19,N
114,Sales,Mid,2024-08-11,Hyderabad,2176800.91,3.69,N
115,Technology,Junior,2024-06-05,Chennai,1623848.89,4.03,N
116,Sales,Lead,2022-10-10,Mumbai,462266.71,4.58,N
117,Finance,Senior,2022-09-22,Hyderabad,991015.61,3.79,N
118,Operations,Senior,2023-12-08,Delhi,1645508.61,4.34,N
119,HR,Junior,2023-03-17,Pune,1098669.05,2.65,N
120,Operations,Mid,2023-06-15,Chennai,439162.33,4.35,Y
121,HR,Senior,2021-02-24,Bengaluru,617149.93,3.74,N
122,Marketing,Lead,2023-04-05,Chennai,592738.13,2.49,N
123,Technology,Junior,2021-06-23,Pune,1479994.68,3.71,N
124,HR,Junior,2022-10-01,Pune,1780264.47,3.57,Y
125,HR,Mid,2022-07-02,Delhi,753973.17,2.65,Y
126,HR,Lead,2021-06-11,Chennai,1518996.25,4.62,N
127,Technology,Mid,2023-06-30,Hyderabad,1050188.25,2.35,Y
128,Operations,Lead,2023-03-31,Mumbai,1898998.94,3.53,N
129,Operations,Mid,2024-03-02,Bengaluru,1511992.78,2.5,N
130,Operations,Lead,2021-01-14,Delhi,1367231.83,2.91,N
131,Operations,Mid,2023-06-28,Pune,651547.54,3.46,N
132,Operations,Junior,2023-04-17,Hyderabad,1712920.49,3.54,N
133,Finance,Lead,2022-07-04,Pune,1275985.72,3.87,N
134,Technology,Senior,2021-04-17,Pune,462783.55,4.23,N
135,Technology,Lead,2023-08-15,Hyderabad,1054271.44,4.29,N
136,Finance,Lead,2021-07-23,Bengaluru,1849446.61,4.77,N
137,Finance,Junior,2024-02-23,Pune,1073175.68,4.76,N
138,Finance,Junior,2024-01-04,Chennai,432314.67,4.58,N
139,Sales,Junior,2021-11-14,Pune,1744093.21,3.27,Y
140,Finance,Senior,2021-07-16,Chennai,868859.17,4.76,N
141,Sales,Junior,2025-01-28,Chennai,1262471.51,3.42,N
142,Technology,Senior,2023-08-02,Bengaluru,434652.49,4.84,N
143,Finance,Junior,2023-04-09,Pune,985629.61,3.95,N
144,Technology,Lead,2024-05-25,Pune,1309725.15,2.6,N
145,HR,Senior,2023-02-11,Delhi,1579674.89,2.9,N
146,Finance,Senior,2023-09-30,Pune,1003420.45,3.12,N
147,HR,Mid,2023-03-08,Pune,1274320.25,4.8,N
148,Sales,Junior,2022-06-12,Pune,1185917.09,2.56,N
149,Finance,Mid,2023-02-09,Mumbai,2011299.68,3.12,N
150,Finance,Junior,2022-06-01,Chennai,663864.18,3.87,Y
151,Finance,Mid,2022-01-21,Pune,2193893.33,3.83,N
152,Operations,Mid,2021-10-21,Hyderabad,1990777.4,2.88,Y
153,Operations,Senior,2021-12-04,Pune,1543217.87,3.21,Y
154,Finance,Mid,2023-11-24,Chennai,1540365.33,4.64,N
155,Operations,Junior,2024-12-09,Mumbai,517279.66,2.23,N
156,Operations,Junior,2022-07-16,Mumbai,1887640.09,4.83,N
157,Sales,Mid,2023-11-21,Pune,2193432.47,2.75,N
158,Operations,Mid,2024-05-18,Chennai,2027852.2,4.87,N
159,Finance,Lead,2024-08-02,Chennai,915805.14,2.21,N
160,Sales,Junior,2023-04-19,Hyderabad,809800.23,4.28,N
161,Operations,Lead,2022-09-13,Chennai,1643847.29,2.33,N
162,HR,Lead,2023-04-07,Chennai,1401843.91,4.83,N
163,Finance,Senior,2022-10-02,Pune,1905866.07,4.08,N
164,HR,Junior,2023-07-15,Delhi,553823.29,2.58,N
165,Operations,Senior,2021-06-15,Hyderabad,2018967.34,4.88,N
166,Marketing,Mid,2024-09-11,Mumbai,946408.09,3.4,N
167,Technology,Junior,2021-03-03,Bengaluru,873400.75,4.14,N
168,Operations,Junior,2022-11-06,Pune,1741630.12,3.68,N
169,HR,Lead,2024-07-16,Chennai,762569.74,4.05,N
170,Operations,Lead,2024-12-28,Mumbai,471926.93,2.48,N
171,Technology,Lead,2021-04-10,Delhi,1747179.59,3.18,N
172,Sales,Junior,2021-03-14,Hyderabad,1490584.23,3.05,N
173,Marketing,Junior,2022-02-17,Hyderabad,687289.74,4.37,N
174,Marketing,Senior,2022-01-14,Delhi,1247699.24,3.14,N
175,Marketing,Mid,2024-08-09,Hyderabad,1783691.08,4.15,Y
176,Marketing,Senior,2021-05-02,Hyderabad,1126102.73,3.59,N
177,Operations,Mid,2024-01-11,Bengaluru,455959.23,3.53,Y
178,Operations,Junior,2022-01-30,Bengaluru,1994733.84,3.88,N
179,Finance,Junior,2024-04-14,Bengaluru,2157077.75,4.13,N
180,Marketing,Lead,2024-10-08,Delhi,1054825.05,3.85,N
181,Finance,Lead,2025-01-14,Bengaluru,1588978.59,4.98,N
182,Technology,Junior,2022-06-29,Bengaluru,2154862.51,3.9,N
183,Finance,Senior,2023-11-26,Hyderabad,813061.05,2.73,Y
184,Technology,Junior,2023-07-21,Chennai,1095386.1,3.82,N
185,Finance,Mid,2022-07-11,Delhi,1238598.87,2.67,N
186,Sales,Senior,2022-03-30,Hyderabad,1095503.96,3.46,N
187,Marketing,Mid,2022-10-20,Pune,1895157.28,4.1,N
188,Finance,Lead,2024-05-06,Hyderabad,1411013.42,4.66,N
189,Marketing,Senior,2024-01-06,Bengaluru,1792929.8,3.71,N
190,HR,Mid,2022-07-25,Delhi,1818149.46,3.04,N
191,Operations,Junior,2023-07-16,Chennai,2037981.98,3.43,N
192,Finance,Mid,2024-11-22,Hyderabad,1089015.9,3.63,Y
193,Finance,Senior,2022-12-03,Delhi,868447.24,3.92,N
194,Marketing,Junior,2024-06-29,Chennai,1886328.76,4.39,N
195,HR,Junior,2022-11-18,Bengaluru,1307895.7,4.46,N
196,Marketing,Lead,2021-01-20,Bengaluru,1819893.1,4.2,Y
197,HR,Lead,2022-10-30,Chennai,622899.29,4.59,Y
198,Operations,Junior,2021-03-20,Chennai,961848.19,2.72,N
199,Finance,Lead,2022-06-08,Chennai,1279685.37,4.09,N
200,Sales,Mid,2022-04-10,Mumbai,908627.16,3.32,N
201,Operations,Lead,2024-02-29,Pune,1539475.88,4.68,Y
202,Finance,Mid,2023-06-08,Chennai,1779603.27,3.6,N
203,Finance,Mid,2024-09-02,Delhi,1538735.83,3.02,N
204,Sales,Junior,2022-07-10,Hyderabad,1027354.53,4.67,N
205,Technology,Junior,2025-01-23,Pune,888258.98,4.79,N
206,HR,Mid,2025-01-08,Hyderabad,1475414.01,4.77,N
207,HR,Lead,2022-12-01,Mumbai,1526052.12,4.61,N
208,Marketing,Lead,2025-01-18,Delhi,499037.65,3.81,Y
209,Sales,Lead,2024-10-30,Chennai,1676572.93,2.98,Y
210,Finance,Mid,2023-04-13,Bengaluru,1308864.8,4.28,N
211,HR,Mid,2021-04-12,Hyderabad,1502692.22,3.82,N
212,HR,Mid,2024-01-17,Delhi,1489027.88,3.97,N
213,Technology,Lead,2021-11-09,Bengaluru,1868835.65,4.89,N
214,Operations,Lead,2023-06-30,Pune,667630.18,4.59,N
215,Marketing,Senior,2022-09-06,Chennai,1773756.54,2.31,Y
216,HR,Junior,2022-09-01,Mumbai,1500223.37,2.32,N
217,Operations,Senior,2021-09-06,Pune,593009.06,3.51,N
218,Operations,Lead,2023-09-30,Delhi,791688.21,4.3,N
219,Marketing,Lead,2024-11-16,Mumbai,2113086.16,3.55,N
220,Sales,Lead,2021-05-08,Chennai,1771554.56,3.63,N
221,Operations,Lead,2022-08-23,Bengaluru,1945142.83,3.94,N
222,Marketing,Junior,2021-08-07,Delhi,409384.46,3.55,N
223,Marketing,Lead,2021-05-02,Delhi,1430082.73,2.2,N
224,Operations,Lead,2023-07-26,Mumbai,1194551.91,3.65,N
225,HR,Lead,2024-08-22,Bengaluru,1735319.88,4.42,Y
226,Marketing,Junior,2022-01-10,Delhi,355829.77,2.33,Y
227,Marketing,Lead,2022-02-09,Chennai,1571649.01,4.78,N
228,Technology,Lead,2022-02-18,Bengaluru,1517215.77,2.43,Y
229,Technology,Lead,2021-06-20,Hyderabad,1180314.48,2.31,Y
230,Operations,Mid,2024-05-01,Bengaluru,1890286.11,4.55,N
231,Marketing,Junior,2021-04-01,Chennai,1520307.77,3.15,N
232,Marketing,Junior,2021-12-30,Mumbai,617809.51,2.59,N
233,Sales,Senior,2023-01-30,Pune,1824479.88,3.35,N
234,HR,Lead,2023-08-17,Hyderabad,2014167.86,3.98,N
235,Sales,Lead,2024-07-21,Chennai,633647.21,2.5,Y
236,Sales,Senior,2025-02-05,Mumbai,1088171.28,3.36,N
237,Operations,Junior,2023-12-25,Delhi,1769749.4,2.53,N
238,Technology,Lead,2024-02-18,Hyderabad,1000924.23,2.98,N
239,Operations,Lead,2023-05-25,Mumbai,1548000.66,4.17,N
240,Sales,Junior,2023-10-30,Chennai,2036253.47,3.05,N
241,Marketing,Junior,2025-01-28,Bengaluru,1408957.08,4.91,N
242,Marketing,Senior,2022-10-16,Pune,1592322.6,4.62,N
243,Sales,Senior,2024-02-14,Bengaluru,614232.12,2.93,N
244,Operations,Lead,2023-10-05,Mumbai,1322883.79,4.72,N
245,Sales,Junior,2023-08-17,Chennai,783464.22,4.83,N
246,Finance,Senior,2021-12-22,Hyderabad,1242410.51,2.67,Y
247,HR,Mid,2022-01-28,Chennai,1558265.09,3.69,N
248,Sales,Junior,2023-09-18,Pune,408077.53,4.43,N
249,Marketing,Mid,2023-12-22,Hyderabad,616710.96,3.9,N
250,Finance,Junior,2022-03-24,Delhi,987506.08,4.16,N
251,Finance,Senior,2024-07-28,Mumbai,1859887.83,2.8,Y
252,Finance,Junior,2023-09-06,Mumbai,837034.66,3.6,N
253,Operations,Junior,2021-06-11,Hyderabad,1061260.89,3.49,N
254,Marketing,Junior,2024-12-24,Pune,429347.86,3.12,N
255,Marketing,Mid,2022-06-18,Delhi,1286312.11,4.14,N
256,HR,Senior,2022-05-31,Bengaluru,820284.24,2.97,N
257,Finance,Mid,2023-11-29,Delhi,1355608.76,4.4,N
258,Finance,Lead,2023-07-28,Mumbai,2070417.3,4.76,N
259,Sales,Mid,2022-10-29,Pune,756845.54,4.4,Y
260,HR,Senior,2023-03-27,Chennai,708731.66,2.4,Y
261,Technology,Lead,2024-10-19,Chennai,1928174.14,4.42,N
262,Finance,Senior,2021-02-14,Bengaluru,645544.18,2.29,N
263,Operations,Junior,2022-09-18,Bengaluru,1611635.06,2.54,N
264,Technology,Mid,2024-05-12,Pune,948174.26,2.99,N
265,Sales,Lead,2021-08-19,Chennai,1740778.31,4.56,N
266,Marketing,Lead,2023-03-21,Mumbai,1075870.35,2.8,N
267,Sales,Junior,2023-10-19,Bengaluru,519460.32,2.71,N
268,HR,Senior,2023-01-27,Hyderabad,1991417.99,3.53,N
269,Marketing,Junior,2022-06-04,Bengaluru,1598299.63,4.95,N
270,HR,Junior,2023-11-19,Delhi,511393.71,3.02,N
271,Technology,Senior,2023-07-07,Delhi,1701852.1,2.93,N
272,Technology,Junior,2022-04-16,Bengaluru,1119757.07,3.97,N
273,Technology,Junior,2021-09-12,Pune,746253.5,3.89,N
274,Finance,Lead,2023-05-28,Chennai,1490715.02,4.77,N
275,HR,Lead,2024-09-16,Hyderabad,1131134.73,2.89,N
276,Marketing,Junior,2024-05-22,Chennai,1738809.14,4.08,N
277,Sales,Mid,2022-12-14,Mumbai,666164.06,4.06,N
278,Operations,Senior,2022-02-19,Hyderabad,591263.61,3.09,N
279,Sales,Lead,2021-12-30,Bengaluru,1969781.88,3.92,N
280,Finance,Junior,2024-03-19,Chennai,849476.55,3.72,N
281,Technology,Senior,2024-11-28,Chennai,401849.48,4.9,N
282,HR,Junior,2023-10-05,Hyderabad,2008910.63,3.95,N
283,Marketing,Mid,2024-11-03,Hyderabad,2162642.95,2.38,N
284,Marketing,Lead,2022-05-29,Bengaluru,1626315.83,4.05,N
285,Operations,Senior,2021-10-03,Delhi,1835774.47,2.21,N
286,HR,Lead,2024-03-01,Delhi,1552945.33,2.46,Y
287,Operations,Senior,2022-06-11,Chennai,1704685.93,4.7,Y
288,Operations,Senior,2023-07-23,Hyderabad,1439537.94,4.06,N
289,Operations,Senior,2024-03-28,Mumbai,1741750.5,4.84,N
290,Marketing,Lead,2024-05-22,Mumbai,737216.73,2.86,N
291,Operations,Lead,2022-01-15,Pune,1326609.75,3.1,N
292,Marketing,Junior,2021-12-25,Pune,917641.4,2.46,N
293,Operations,Senior,2022-05-21,Hyderabad,2016643.18,3.36,N
294,HR,Lead,2023-02-05,Bengaluru,1679116.7,3.4,N
295,Operations,Junior,2022-01-17,Bengaluru,1569683.83,4.61,N
296,Technology,Lead,2022-01-12,Mumbai,2138962.62,3.26,N
297,Finance,Senior,2021-01-24,Delhi,1278101.11,3.97,Y
298,Finance,Senior,2021-10-12,Chennai,1763328.98,4.89,N
299,Finance,Lead,2022-06-29,Bengaluru,689026.52,3.42,Y
300,Sales,Mid,2022-04-26,Bengaluru,1297902.88,3.58,N
301,Technology,Junior,2021-01-16,Chennai,1394447.17,4.57,N
302,Technology,Mid,2021-05-25,Pune,364367.46,2.64,N
