campaign_id,date,channel,region,spend,impressions,clicks,conversions,revenue
1,2025-03-07,Display,North,31923.4,189226,9822,917,280578.89
2,2026-02-06,Search,East,22029.17,869308,64714,7807,3618623.24
3,2025-10-24,Social,East,35449.53,473130,41601,2124,910751.71
4,2025-01-10,Email,East,42757.11,110155,6331,207,47569.31
5,2025-01-16,Search,North,26616.36,215672,19186,1652,963434.99
6,2025-02-22,Email,West,20213.75,537796,30312,866,50926.16
7,2025-03-04,Social,South,36963.38,555376,7441,112,65278.26
8,2025-09-09,Search,North,27808.21,350338,16551,565,302791.96
9,2025-03-12,Display,West,17716.34,76375,4643,666,122517.88
10,2025-04-06,Affiliate,West,12763.0,450151,9031,1466,740125.95
11,2025-09-13,Display,East,25636.34,896152,58285,1382,727077.81
12,2025-03-30,Search,North,5495.78,780193,57565,9698,5741737.21
13,2025-05-16,Email,North,2031.76,497511,41609,5106,2776614.84
14,2025-11-24,Search,South,5384.75,277968,19045,2135,332386.32
15,2026-01-11,Display,South,44777.63,331139,22264,3890,1362109.58
16,2026-03-24,Affiliate,West,15202.77,71711,4573,708,233823.99
17,2026-04-10,Social,South,46922.7,894105,33237,3282,1733629.29
18,2025-04-30,Email,North,37997.07,544259,7015,332,84877.9
19,2025-05-07,Affiliate,West,44753.11,787141,12586,2105,981168.48
20,2026-02-08,Display,West,2145.15,114151,8263,648,382798.77
21,2026-01-23,Affiliate,East,21597.78,197283,10911,1603,861931.56
22,2025-01-12,Social,West,45255.36,189901,14299,483,220405.41
23,2025-11-08,Email,North,40155.33,800472,34893,1645,201715.88
24,2026-02-19,Search,West,2092.36,19632,1209,34,12137.85
25,2026-02-25,Display,West,31244.47,442084,24211,312,170269.42
26,2026-02-02,Affiliate,South,49935.09,611828,17745,2485,1047172.85
27,2026-02-28,Social,North,42217.56,773103,66074,2386,555348.2
28,2025-05-12,Display,South,1337.42,204765,7776,773,172637.68
29,2025-07-28,Search,North,31437.62,96833,5249,898,61529.45
30,2025-06-21,Affiliate,West,12309.53,579434,29117,4645,503998.05
31,2025-05-18,Social,West,12190.61,308360,21659,2300,498808.57
32,2026-05-16,Email,North,21448.05,495157,16460,1627,240883.26
33,2026-03-22,Email,South,34447.62,376829,21181,3758,895210.68
34,2025-04-22,Search,North,3487.5,581273,31823,656,44414.03
35,2025-09-23,Social,West,48625.18,721230,56741,8215,4817817.91
36,2026-04-29,Affiliate,East,5803.13,279053,16131,2118,529635.39
37,2025-06-23,Display,East,32615.07,115989,5253,833,144915.65
38,2026-04-13,Social,North,1595.51,727469,35675,1404,363097.65
39,2025-11-06,Display,North,32576.69,279545,11731,423,131471.73
40,2025-01-27,Display,East,31920.37,212069,3174,540,87153.74
41,2026-04-23,Affiliate,West,18794.65,408921,30607,1181,143726.78
42,2026-03-31,Email,East,44748.22,897358,35092,4615,2700599.54
43,2025-05-11,Affiliate,East,18881.29,683760,49351,4139,1721835.51
44,2026-04-06,Display,West,10192.15,831777,30408,2443,1175020.66
45,2025-04-05,Email,South,32584.55,109313,9367,1564,474467.51
46,2026-03-03,Display,North,14983.79,694178,35914,700,354857.35
47,2025-02-05,Display,North,40278.22,192996,7746,893,100429.5
48,2026-03-06,Affiliate,North,26540.93,889886,3637,122,42326.03
49,2025-04-06,Display,South,6315.37,699158,46359,2775,1126185.42
50,2025-08-02,Affiliate,East,46314.76,286630,11728,655,392336.88
51,2025-03-30,Affiliate,South,23260.11,691970,39484,7032,1476474.82
52,2026-03-06,Email,North,15279.87,845880,62128,5056,2846239.24
53,2026-05-15,Email,South,32154.37,546518,6778,92,26703.8
54,2025-08-02,Email,South,8680.74,382888,18415,1405,394889.97
55,2025-05-09,Display,West,33362.29,180273,4292,484,84008.47
56,2026-04-15,Affiliate,South,22590.85,718974,41066,2259,1132556.81
57,2025-12-09,Display,North,8653.74,268352,8598,892,66150.19
58,2025-05-23,Social,South,7099.46,16203,749,11,5302.12
59,2025-08-27,Search,South,28982.93,44943,809,92,20499.15
60,2026-01-02,Email,South,17856.18,897703,63946,1470,777552.97
61,2025-01-26,Email,North,38824.81,522879,37774,2804,226764.23
62,2025-02-26,Search,East,21931.88,670082,47435,4825,772101.63
63,2025-02-26,Social,North,31324.43,618321,50012,5479,2351260.66
64,2025-11-30,Email,South,28600.55,247075,13213,464,133672.22
65,2025-08-01,Display,West,48872.44,142809,2893,183,95290.12
66,2026-02-26,Display,South,32652.87,610241,49133,7299,2179846.55
67,2025-08-08,Email,West,47875.51,134155,1300,232,104859.13
68,2025-04-10,Email,East,6233.39,295933,17075,1366,205648.37
69,2025-11-12,Email,South,2235.16,818531,30120,1004,240738.16
70,2025-11-06,Display,East,17575.79,105007,7548,808,237370.47
71,2026-01-12,Affiliate,West,16582.06,366954,2126,245,43892.81
72,2025-12-17,Search,East,45939.8,419229,12374,837,235615.68
73,2026-03-02,Affiliate,South,36565.09,140608,9390,932,450734.96
74,2025-05-22,Search,West,37427.48,251538,22094,3587,508930.27
75,2025-06-27,Email,West,689.06,837014,27644,2238,699275.82
76,2025-07-14,Search,West,23637.55,121923,6460,837,313660.82
77,2025-10-02,Social,West,27671.03,435046,13518,1943,275056.88
78,2025-11-01,Social,North,38328.38,789873,65752,5229,2918029.43
79,2025-06-06,Search,West,16375.2,426637,34816,999,453535.94
80,2026-01-13,Social,North,44486.33,156867,6961,1242,227899.46
81,2026-02-04,Search,South,17231.54,866432,17201,1777,503960.88
82,2025-07-18,Affiliate,East,18444.69,843785,29629,724,426746.1
83,2026-04-02,Display,North,41662.97,749390,56962,6408,3800795.89
84,2025-12-23,Affiliate,East,31812.29,292901,3398,534,258049.73
85,2026-02-08,Display,East,18302.98,856855,35564,3785,1120729.41
86,2026-02-07,Social,North,7683.42,449033,12697,1091,522635.82
87,2025-08-04,Affiliate,West,15567.03,371960,3762,426,111023.73
88,2026-04-09,Social,West,38112.5,708281,37915,678,274687.31
89,2025-10-12,Display,South,32115.69,758208,33515,3743,884988.08
90,2025-01-16,Email,North,27121.03,879366,27605,2839,157009.66
91,2025-03-21,Search,North,9487.2,344345,17347,2243,703002.44
92,2025-09-15,Search,North,31401.36,536464,46306,651,131148.29
93,2025-12-24,Social,North,21078.05,640109,15208,2029,554086.4
94,2025-06-07,Email,North,35079.39,713784,50199,5328,1509738.71
